frame,activity,l0_x,l0_y,l0_z,l0_v,l1_x,l1_y,l1_z,l1_v,l2_x,l2_y,l2_z,l2_v,l3_x,l3_y,l3_z,l3_v,l4_x,l4_y,l4_z,l4_v,l5_x,l5_y,l5_z,l5_v,l6_x,l6_y,l6_z,l6_v,l7_x,l7_y,l7_z,l7_v,l8_x,l8_y,l8_z,l8_v,l9_x,l9_y,l9_z,l9_v,l10_x,l10_y,l10_z,l10_v,l11_x,l11_y,l11_z,l11_v,l12_x,l12_y,l12_z,l12_v,l13_x,l13_y,l13_z,l13_v,l14_x,l14_y,l14_z,l14_v,l15_x,l15_y,l15_z,l15_v,l16_x,l16_y,l16_z,l16_v,l17_x,l17_y,l17_z,l17_v,l18_x,l18_y,l18_z,l18_v,l19_x,l19_y,l19_z,l19_v,l20_x,l20_y,l20_z,l20_v,l21_x,l21_y,l21_z,l21_v,l22_x,l22_y,l22_z,l22_v,l23_x,l23_y,l23_z,l23_v,l24_x,l24_y,l24_z,l24_v,l25_x,l25_y,l25_z,l25_v,l26_x,l26_y,l26_z,l26_v,l27_x,l27_y,l27_z,l27_v,l28_x,l28_y,l28_z,l28_v,l29_x,l29_y,l29_z,l29_v,l30_x,l30_y,l30_z,l30_v,l31_x,l31_y,l31_z,l31_v,l32_x,l32_y,l32_z,l32_v
1,sit,0.3921228051185608,0.16509616374969482,-0.24512043595314026,0.9999971985816956,0.39748236536979675,0.15623876452445984,-0.23326799273490906,0.9999948143959045,0.40060240030288696,0.1561048924922943,-0.2332930564880371,0.9999939203262329,0.40325093269348145,0.15621963143348694,-0.23328161239624023,0.9999943971633911,0.38891589641571045,0.1578945517539978,-0.2301274985074997,0.9999954700469971,0.3864918351173401,0.1589171290397644,-0.2301417887210846,0.9999945163726807,0.3838617205619812,0.16020804643630981,-0.2301507443189621,0.999994695186615,0.4087788462638855,0.16373708844184875,-0.15191656351089478,0.9999880790710449,0.3824240565299988,0.16975101828575134,-0.13798585534095764,0.9999865889549255,0.3999101221561432,0.1794208288192749,-0.21428397297859192,0.9999971985816956,0.38796523213386536,0.18095362186431885,-0.21021577715873718,0.9999967217445374,0.4374946057796478,0.25011488795280457,-0.10235624015331268,0.9999443292617798,0.3681020438671112,0.2627609670162201,-0.059401679784059525,0.9999586939811707,0.45983409881591797,0.3464210033416748,-0.09009242802858353,0.99611896276474,0.3616756796836853,0.36726367473602295,-0.009121500886976719,0.9908811450004578,0.4463064670562744,0.4182889759540558,-0.18860051035881042,0.9876135587692261,0.35861384868621826,0.46010783314704895,-0.09154121577739716,0.9623618721961975,0.4424285292625427,0.4392215609550476,-0.21765443682670593,0.9739348888397217,0.35757794976234436,0.49070391058921814,-0.1144808679819107,0.9269489049911499,0.43809595704078674,0.43297427892684937,-0.2398335039615631,0.9737486243247986,0.36153531074523926,0.48870596289634705,-0.14279019832611084,0.9247456192970276,0.4380663335323334,0.42640265822410583,-0.19851352274417877,0.9665074348449707,0.3636714816093445,0.47819656133651733,-0.10454274713993073,0.9148401021957397,0.4256063401699066,0.44404101371765137,-0.013658089563250542,0.9998471736907959,0.38567209243774414,0.4489641785621643,0.013619151897728443,0.9998870491981506,0.4259733557701111,0.5951025485992432,-0.008342728950083256,0.972674548625946,0.3878183960914612,0.5909793376922607,0.01809746026992798,0.9761592745780945,0.42849960923194885,0.735313355922699,0.09127166867256165,0.7769856452941895,0.3940744698047638,0.741393506526947,0.12216620147228241,0.8794350028038025,0.42309021949768066,0.7577211856842041,0.09399909526109695,0.7146335244178772,0.40119224786758423,0.7610130906105042,0.1249987855553627,0.7561060190200806,0.4427255690097809,0.7823383808135986,-0.004845301155000925,0.8157238960266113,0.37773561477661133,0.7912493944168091,0.02714214287698269,0.8702399134635925
2,sit,0.3921275734901428,0.165963813662529,-0.19942447543144226,0.9999970197677612,0.3972499668598175,0.1566917896270752,-0.18715916574001312,0.9999937415122986,0.40030592679977417,0.1566147357225418,-0.18717049062252045,0.9999927878379822,0.4031084477901459,0.15668001770973206,-0.18714819848537445,0.9999931454658508,0.38885512948036194,0.15832751989364624,-0.18515890836715698,0.9999945759773254,0.386360764503479,0.1594165563583374,-0.18514035642147064,0.9999935030937195,0.3838522434234619,0.16059570014476776,-0.18513736128807068,0.9999936819076538,0.40841156244277954,0.16496014595031738,-0.10991241037845612,0.9999859929084778,0.3824237883090973,0.17056059837341309,-0.10086309909820557,0.999984860420227,0.3999078869819641,0.1815851628780365,-0.170586496591568,0.9999969005584717,0.3879602551460266,0.18293872475624084,-0.1679014265537262,0.9999963641166687,0.43729129433631897,0.25034618377685547,-0.06044963747262955,0.9999476671218872,0.3671792149543762,0.2625104486942291,-0.04299488291144371,0.9999604225158691,0.45914140343666077,0.3461150825023651,-0.03812449425458908,0.9957607388496399,0.3614872395992279,0.3670320212841034,-0.0036066987086087465,0.9891114830970764,0.446432501077652,0.4170834720134735,-0.13075633347034454,0.9874353408813477,0.3592633605003357,0.4601111114025116,-0.0808459147810936,0.9628183841705322,0.4424305856227875,0.4392358958721161,-0.158395454287529,0.9735513925552368,0.35821014642715454,0.490151047706604,-0.10517799854278564,0.9284806251525879,0.43809038400650024,0.4326982796192169,-0.18095813691616058,0.9734629988670349,0.3636920750141144,0.48851361870765686,-0.13044635951519012,0.9266098737716675,0.4380776286125183,0.42577672004699707,-0.14086057245731354,0.9658716320991516,0.36595937609672546,0.47817984223365784,-0.09241002798080444,0.9166813492774963,0.42530322074890137,0.4459807574748993,-0.007656740490347147,0.9998289346694946,0.38525933027267456,0.45015156269073486,0.0076636276207864285,0.9998786449432373,0.42595821619033813,0.5985428094863892,-0.005362257361412048,0.9743865728378296,0.38776904344558716,0.593526303768158,0.002861525397747755,0.9777913689613342,0.42816177010536194,0.736515462398529,0.08650598675012589,0.7981569766998291,0.39459723234176636,0.7413627505302429,0.09745953977108002,0.8905468583106995,0.42301028966903687,0.758125364780426,0.08834514766931534,0.7334128618240356,0.40153536200523376,0.7609917521476746,0.10000067949295044,0.7704509496688843,0.44226107001304626,0.7823960185050964,-0.008554626256227493,0.832204282283783,0.37867414951324463,0.7913316488265991,0.005316202994436026,0.8814733624458313
3,sit,0.39137333631515503,0.1662856489419937,-0.19250021874904633,0.9999967217445374,0.3961701989173889,0.15684740245342255,-0.18005439639091492,0.9999921917915344,0.39908066391944885,0.15682244300842285,-0.18007011711597443,0.9999911189079285,0.4019918441772461,0.1569260209798813,-0.18005308508872986,0.9999913573265076,0.3879428803920746,0.15851642191410065,-0.17812620103359222,0.9999932646751404,0.3854902386665344,0.15954357385635376,-0.17810313403606415,0.9999920129776001,0.3834608495235443,0.16061924397945404,-0.17809446156024933,0.9999921321868896,0.4073418974876404,0.16550388932228088,-0.10333289951086044,0.9999827742576599,0.3819626271724701,0.1707720160484314,-0.09451722353696823,0.9999818801879883,0.3987411558628082,0.1823890209197998,-0.16394081711769104,0.9999963641166687,0.3871155381202698,0.18361303210258484,-0.16129586100578308,0.9999957084655762,0.43589121103286743,0.25035572052001953,-0.05534667894244194,0.9999502301216125,0.36538881063461304,0.26263779401779175,-0.0382673479616642,0.9999610781669617,0.4575577676296234,0.3455609977245331,-0.027463797479867935,0.9953218102455139,0.3606950044631958,0.3676629364490509,-0.0007647101301699877,0.986759603023529,0.44639745354652405,0.4169677793979645,-0.11072049289941788,0.98697829246521,0.3593488335609436,0.46013763546943665,-0.07587803900241852,0.9623680710792542,0.44246116280555725,0.4395086467266083,-0.13699732720851898,0.9726428389549255,0.3582553267478943,0.48996320366859436,-0.1001308336853981,0.9286044239997864,0.43810755014419556,0.43275973200798035,-0.16029693186283112,0.9726886749267578,0.3640449047088623,0.4884628653526306,-0.12492018938064575,0.9270740747451782,0.4380996823310852,0.4257555305957794,-0.12104737758636475,0.9647337198257446,0.3663519024848938,0.47817912697792053,-0.08732132613658905,0.917021632194519,0.4247428774833679,0.44714805483818054,-0.005942086223512888,0.9998111724853516,0.3844960927963257,0.450917512178421,0.005957791581749916,0.9998692870140076,0.4259359836578369,0.5996047258377075,-0.0046650106087327,0.9758579730987549,0.38780325651168823,0.595438539981842,0.00039762863889336586,0.9791620969772339,0.42816171050071716,0.7373226881027222,0.0853831097483635,0.8171604871749878,0.39488643407821655,0.7411878705024719,0.09654439985752106,0.9004919528961182,0.42301201820373535,0.7584593892097473,0.08720412105321884,0.7500881552696228,0.40176019072532654,0.7608891725540161,0.09930728375911713,0.7832044363021851,0.4422336220741272,0.7824092507362366,-0.00902878399938345,0.8469008207321167,0.3791939318180084,0.7913334965705872,0.005018150433897972,0.8914682865142822
4,sit,0.3908713757991791,0.16640885174274445,-0.1896655410528183,0.9999963641166687,0.3953589200973511,0.15692132711410522,-0.17727023363113403,0.9999903440475464,0.39818623661994934,0.1568835824728012,-0.17728731036186218,0.9999892711639404,0.40107664465904236,0.1569788157939911,-0.17726881802082062,0.9999893307685852,0.387020468711853,0.1587204486131668,-0.17550179362297058,0.9999917149543762,0.38467150926589966,0.15969741344451904,-0.175478994846344,0.9999902844429016,0.3829135000705719,0.1606997847557068,-0.17547187209129333,0.9999903440475464,0.40623706579208374,0.16561958193778992,-0.10112430155277252,0.9999791979789734,0.3810703456401825,0.17118868231773376,-0.09297819435596466,0.9999784827232361,0.39813920855522156,0.18265172839164734,-0.16130080819129944,0.9999957084655762,0.3865061402320862,0.1838858723640442,-0.15885640680789948,0.9999949932098389,0.43456530570983887,0.2502896785736084,-0.05473790690302849,0.9999526739120483,0.3642212450504303,0.262696236371994,-0.03729211539030075,0.9999613761901855,0.4553462564945221,0.34518304467201233,-0.027576586231589317,0.9949284791946411,0.35965612530708313,0.36785516142845154,-0.001199968857690692,0.985034704208374,0.4461849629878998,0.4182966947555542,-0.10919718444347382,0.9867267608642578,0.35878831148147583,0.4605099856853485,-0.07477707415819168,0.9622864127159119,0.4426179528236389,0.44388869404792786,-0.13501304388046265,0.972154974937439,0.3578519821166992,0.48996394872665405,-0.09848089516162872,0.9290874600410461,0.4381662905216217,0.43754851818084717,-0.1583116054534912,0.9723097681999207,0.3638933300971985,0.4884650707244873,-0.1231187954545021,0.9278586506843567,0.4381001889705658,0.42941275238990784,-0.1195322722196579,0.9641870856285095,0.3661470413208008,0.4782390892505646,-0.08611737191677094,0.9177994132041931,0.4244675636291504,0.447908878326416,-0.005694561637938023,0.9997955560684204,0.3841109871864319,0.4516812562942505,0.005710106808692217,0.9998598098754883,0.4258694648742676,0.6009494662284851,-0.004155621863901615,0.9771157503128052,0.38780322670936584,0.5971052646636963,0.0011039974633604288,0.9802548289299011,0.4281536638736725,0.7378841042518616,0.08515448123216629,0.8341116309165955,0.39506766200065613,0.7410101294517517,0.09694139659404755,0.9092125296592712,0.42302441596984863,0.758713960647583,0.08704327046871185,0.7636832594871521,0.40189260244369507,0.7606387734413147,0.09979031980037689,0.7931486368179321,0.44210687279701233,0.7824544906616211,-0.008921116590499878,0.8598884344100952,0.379523903131485,0.7913342118263245,0.006143337115645409,0.9000962376594543
5,sit,0.38945192098617554,0.16653338074684143,-0.19674815237522125,0.9999962449073792,0.39368465542793274,0.1571386754512787,-0.18445557355880737,0.9999893307685852,0.3965837359428406,0.15702705085277557,-0.1844717413187027,0.9999882578849792,0.3995376229286194,0.15710531175136566,-0.18444830179214478,0.9999881982803345,0.3853171467781067,0.15901175141334534,-0.18238331377506256,0.9999909400939941,0.38339000940322876,0.15990649163722992,-0.18236443400382996,0.99998939037323,0.3814539313316345,0.1609017550945282,-0.1823580414056778,0.99998939037323,0.4048473834991455,0.16583551466464996,-0.10869504511356354,0.9999767541885376,0.37929317355155945,0.1720423847436905,-0.09939868748188019,0.9999764561653137,0.39697980880737305,0.18281400203704834,-0.1686420440673828,0.9999952912330627,0.38530221581459045,0.18404102325439453,-0.1658625602722168,0.9999945163726807,0.4336496889591217,0.25029391050338745,-0.061991918832063675,0.9999540448188782,0.3626062870025635,0.2642959952354431,-0.041376225650310516,0.9999614953994751,0.4534221589565277,0.3453254699707031,-0.033766504377126694,0.9945104122161865,0.35747674107551575,0.3720078468322754,-0.004720831755548716,0.9834082722663879,0.4461045265197754,0.42169442772865295,-0.10949244350194931,0.9861558675765991,0.35677844285964966,0.46242624521255493,-0.07571195065975189,0.9615373611450195,0.4429389536380768,0.44941413402557373,-0.13333913683891296,0.9709633588790894,0.35672977566719055,0.49115461111068726,-0.09819452464580536,0.9283616542816162,0.438316285610199,0.443242609500885,-0.15636341273784637,0.9712536334991455,0.36251100897789,0.48947814106941223,-0.12231437116861343,0.9274250268936157,0.4381064474582672,0.4344865679740906,-0.11949601024389267,0.9629161953926086,0.3642634451389313,0.4796006381511688,-0.0868113785982132,0.917326033115387,0.4242886006832123,0.4492221474647522,-0.004807610530406237,0.9997819066047668,0.38371339440345764,0.453567773103714,0.0048086978495121,0.9998524188995361,0.42576900124549866,0.6008392572402954,-0.0016607008874416351,0.9780893325805664,0.387770414352417,0.5973068475723267,0.0016632148763164878,0.9812678098678589,0.42807644605636597,0.738210916519165,0.08556721359491348,0.8494278788566589,0.3950892686843872,0.7409378886222839,0.09696963429450989,0.9171549081802368,0.42302602529525757,0.7589179873466492,0.0875818207859993,0.7777756452560425,0.4019024968147278,0.7604451775550842,0.09987155348062515,0.8022710084915161,0.44210800528526306,0.7824718952178955,-0.007174544967710972,0.8718022704124451,0.37970176339149475,0.7913169264793396,0.006819938309490681,0.9079761505126953
6,sit,0.38775113224983215,0.1664583832025528,-0.19216200709342957,0.9999960064888,0.3918643593788147,0.15707795321941376,-0.1797199696302414,0.9999879002571106,0.3948215842247009,0.15691156685352325,-0.17973628640174866,0.9999867081642151,0.39778921008110046,0.1569533795118332,-0.17970795929431915,0.999986469745636,0.38377121090888977,0.15899720788002014,-0.17771442234516144,0.9999898076057434,0.38214588165283203,0.1598941534757614,-0.17768938839435577,0.9999880790710449,0.38000982999801636,0.16089589893817902,-0.17768673598766327,0.9999880194664001,0.4034513533115387,0.16582919657230377,-0.10479889065027237,0.9999727010726929,0.37799614667892456,0.17212945222854614,-0.0960431918501854,0.9999732375144958,0.3952738642692566,0.18261373043060303,-0.16457083821296692,0.9999945759773254,0.38392674922943115,0.1838615983724594,-0.16194869577884674,0.9999937415122986,0.43247827887535095,0.25018420815467834,-0.05950654298067093,0.9999535083770752,0.36148443818092346,0.2646534740924835,-0.04320380836725235,0.9999608397483826,0.45137691497802734,0.3450465202331543,-0.029901588335633278,0.9937925338745117,0.355431467294693,0.37302887439727783,-0.00844040047377348,0.9816292524337769,0.4462173879146576,0.4243854880332947,-0.09759179502725601,0.9849986433982849,0.3549744784832001,0.46477264165878296,-0.07440825551748276,0.9599688649177551,0.4441644251346588,0.4543147087097168,-0.11888740211725235,0.9687533378601074,0.3555143475532532,0.49362343549728394,-0.0955030769109726,0.9263318777084351,0.4393562376499176,0.44964006543159485,-0.14164432883262634,0.9692177772521973,0.36074501276016235,0.49141040444374084,-0.11915282905101776,0.9257104396820068,0.4386363923549652,0.44013187289237976,-0.10741908848285675,0.960612952709198,0.36214306950569153,0.48173218965530396,-0.0852608010172844,0.9156543612480164,0.4239722192287445,0.4496387839317322,-0.003952421247959137,0.9997660517692566,0.38302358984947205,0.45504215359687805,0.0039479052647948265,0.999844491481781,0.42560654878616333,0.5994598269462585,0.001459324499592185,0.9786562323570251,0.3877452313899994,0.5979621410369873,0.0015495470724999905,0.9820272922515869,0.4281308054924011,0.738188624382019,0.08652782440185547,0.8629627227783203,0.39520686864852905,0.740919828414917,0.09573919326066971,0.9241757392883301,0.42312970757484436,0.7589175701141357,0.08854613453149796,0.7900144457817078,0.4020918905735016,0.7604175209999084,0.09868444502353668,0.8098485469818115,0.4420815408229828,0.7824239134788513,-0.002619210397824645,0.88224858045578,0.37982243299484253,0.7913027405738831,0.0064766802825033665,0.9148173332214355
7,sit,0.38721758127212524,0.16701443493366241,-0.1942892074584961,0.9999957084655762,0.3913012146949768,0.1576397567987442,-0.18194825947284698,0.9999863505363464,0.3942377269268036,0.15737909078598022,-0.18196596205234528,0.9999850988388062,0.3971656262874603,0.15736079216003418,-0.18195147812366486,0.9999846816062927,0.3830832839012146,0.15976111590862274,-0.18030059337615967,0.9999884963035583,0.38139861822128296,0.16057653725147247,-0.18027731776237488,0.9999867081642151,0.37937700748443604,0.16153529286384583,-0.18027326464653015,0.9999865889549255,0.4026815891265869,0.1661098152399063,-0.10598777234554291,0.9999687671661377,0.37725570797920227,0.17291128635406494,-0.09879335016012192,0.9999702572822571,0.39467838406562805,0.1830872893333435,-0.16603527963161469,0.9999937415122986,0.383297860622406,0.18449081480503082,-0.16391411423683167,0.9999929070472717,0.4315339922904968,0.2500985562801361,-0.057666003704071045,0.9999528527259827,0.36089757084846497,0.2651321291923523,-0.04378252476453781,0.9999601244926453,0.4489162862300873,0.345093697309494,-0.02479853853583336,0.993020236492157,0.35405099391937256,0.3730071485042572,-0.012720122933387756,0.9805168509483337,0.4463561177253723,0.4279044270515442,-0.08910256624221802,0.9839169383049011,0.35303565859794617,0.4655658006668091,-0.07556275278329849,0.9593427181243896,0.4457003176212311,0.4590393900871277,-0.10939051955938339,0.9666697382926941,0.35317105054855347,0.4943617582321167,-0.09672859311103821,0.9254430532455444,0.440690815448761,0.4553512930870056,-0.13302162289619446,0.9673335552215576,0.35817527770996094,0.49224820733070374,-0.12020274251699448,0.925091564655304,0.4393904209136963,0.44628074765205383,-0.09933973848819733,0.9584689736366272,0.35965171456336975,0.4825150668621063,-0.08638757467269897,0.9149748086929321,0.42343592643737793,0.44967561960220337,-0.0027213844005018473,0.9997502565383911,0.38178750872612,0.45499521493911743,0.002704122569411993,0.9998354315757751,0.42536482214927673,0.5991599559783936,0.0023081405088305473,0.9792478084564209,0.38771313428878784,0.5979809761047363,-0.0013782723108306527,0.98276287317276,0.42813172936439514,0.738175094127655,0.0869341790676117,0.8751567006111145,0.39525550603866577,0.7408901453018188,0.09142960608005524,0.9304977059364319,0.42316287755966187,0.7589142918586731,0.08896280825138092,0.7998295426368713,0.4021271765232086,0.7603170871734619,0.09431532025337219,0.8149518966674805,0.442063570022583,0.7824217677116394,-0.0021885971073061228,0.8916407823562622,0.37989768385887146,0.7912978529930115,0.0005775581230409443,0.9210218191146851
8,sit,0.38674232363700867,0.16745348274707794,-0.19648317992687225,0.9999953508377075,0.3908606171607971,0.1580253690481186,-0.18428723514080048,0.9999845027923584,0.3937720060348511,0.15772509574890137,-0.18430522084236145,0.9999832510948181,0.39670243859291077,0.15768280625343323,-0.18429282307624817,0.9999825954437256,0.3824926018714905,0.1602148562669754,-0.18285684287548065,0.9999869465827942,0.38075166940689087,0.1609794646501541,-0.1828354448080063,0.9999850988388062,0.3787594437599182,0.16192029416561127,-0.18283292651176453,0.999984860420227,0.40214651823043823,0.1663120836019516,-0.10796865075826645,0.9999642372131348,0.37660202383995056,0.1734517365694046,-0.10155946016311646,0.9999667406082153,0.3942241370677948,0.18365876376628876,-0.16794906556606293,0.9999927878379822,0.3827696740627289,0.18508249521255493,-0.16613416373729706,0.9999919533729553,0.43066367506980896,0.24987758696079254,-0.05802380293607712,0.9999515414237976,0.36049702763557434,0.2659187912940979,-0.0463130958378315,0.9999590516090393,0.4466990828514099,0.3442819118499756,-0.023259570822119713,0.9921584129333496,0.35322558879852295,0.3729608654975891,-0.015782609581947327,0.9796012043952942,0.446621835231781,0.42963361740112305,-0.08507273346185684,0.9826703071594238,0.3516038656234741,0.46576225757598877,-0.07638245820999146,0.9587510824203491,0.4475303292274475,0.4615226686000824,-0.10434061288833618,0.9643192887306213,0.3506125509738922,0.4942845106124878,-0.09742589294910431,0.9245947003364563,0.44236454367637634,0.4588348865509033,-0.12870530784130096,0.9652157425880432,0.3556433916091919,0.4925236999988556,-0.12108291685581207,0.924548327922821,0.4405025541782379,0.45043545961380005,-0.09564398229122162,0.9561594724655151,0.3573855757713318,0.482899010181427,-0.08731638640165329,0.9144709706306458,0.42322030663490295,0.4496408998966217,-0.001991432625800371,0.999732494354248,0.38143569231033325,0.45488014817237854,0.0019735335372388363,0.9998254776000977,0.4252055585384369,0.5989285111427307,0.0039574261754751205,0.9799913167953491,0.38769397139549255,0.5980629324913025,-0.0023451815359294415,0.9836020469665527,0.42815637588500977,0.7380027174949646,0.08871545642614365,0.8863178491592407,0.39535021781921387,0.7408497333526611,0.08918622136116028,0.9363495111465454,0.4232157766819,0.7584870457649231,0.09082986414432526,0.8092764616012573,0.4021817147731781,0.7600098252296448,0.09194131195545197,0.8199482560157776,0.4418511390686035,0.7824022769927979,-0.0007445923401974142,0.9003826379776001,0.3799642026424408,0.7912979125976562,-0.0022800026927143335,0.9268593788146973
9,sit,0.38623300194740295,0.16822156310081482,-0.20808163285255432,0.9999948143959045,0.3904816210269928,0.15864598751068115,-0.1958783119916916,0.9999820590019226,0.393384724855423,0.15836164355278015,-0.19589461386203766,0.9999808073043823,0.39636310935020447,0.15831661224365234,-0.19589218497276306,0.9999800324440002,0.3820556104183197,0.16085396707057953,-0.1951483190059662,0.9999848008155823,0.3802276849746704,0.1615452915430069,-0.19513916969299316,0.9999828338623047,0.37835729122161865,0.16240447759628296,-0.1951465904712677,0.9999825954437256,0.4018954336643219,0.16660986840724945,-0.11711802333593369,0.9999588131904602,0.3763573169708252,0.17382028698921204,-0.11361169815063477,0.9999615550041199,0.3937429189682007,0.18450605869293213,-0.17829248309135437,0.9999914169311523,0.3823227286338806,0.18585947155952454,-0.1774463951587677,0.9999904632568359,0.4303763508796692,0.24982738494873047,-0.0585925355553627,0.9999472498893738,0.360365092754364,0.2665465772151947,-0.05789325758814812,0.9999566078186035,0.4451533854007721,0.3444598615169525,-0.02934386394917965,0.9909128546714783,0.3528437912464142,0.37286990880966187,-0.02184521034359932,0.9782671332359314,0.4466169476509094,0.43422931432724,-0.0900738388299942,0.9798265099525452,0.3500939607620239,0.46578988432884216,-0.07866110652685165,0.9568049311637878,0.4478428363800049,0.4665400981903076,-0.10817883163690567,0.9592322707176208,0.34849733114242554,0.49409013986587524,-0.09784580767154694,0.9215242266654968,0.44280433654785156,0.4650856852531433,-0.13356417417526245,0.9605144262313843,0.3532809913158417,0.49246102571487427,-0.12149055302143097,0.9219363927841187,0.44083285331726074,0.4575827717781067,-0.10100962221622467,0.9509589672088623,0.35506314039230347,0.4829294979572296,-0.08950091898441315,0.9117394089698792,0.42303162813186646,0.4493776559829712,-0.002101447433233261,0.9997001886367798,0.3812374472618103,0.4542555510997772,0.0020799534395337105,0.9998092651367188,0.42501068115234375,0.5966882705688477,0.0030333262402564287,0.9805392026901245,0.3876417875289917,0.5973348617553711,-0.004173361696302891,0.9842740297317505,0.42821192741394043,0.737808883190155,0.0887422263622284,0.8962756395339966,0.3956242501735687,0.740828275680542,0.0857836976647377,0.9416145086288452,0.42338377237319946,0.7580834031105042,0.09085993468761444,0.8158729672431946,0.40248122811317444,0.7599950432777405,0.08822544664144516,0.823853611946106,0.441397488117218,0.7820442318916321,-0.0017100491095334291,0.9082170128822327,0.3799681067466736,0.7914218306541443,-0.008912554010748863,0.9321815967559814
10,sit,0.38610395789146423,0.1691591739654541,-0.2182980477809906,0.9999944567680359,0.39037570357322693,0.15928784012794495,-0.20645518600940704,0.9999803900718689,0.39326781034469604,0.15912507474422455,-0.20647160708904266,0.9999792575836182,0.3962498903274536,0.1590867042541504,-0.20646914839744568,0.9999784231185913,0.38192787766456604,0.16139300167560577,-0.20528452098369598,0.9999831914901733,0.3799281716346741,0.1620703786611557,-0.2052825689315796,0.9999811053276062,0.3781634569168091,0.16281969845294952,-0.20529358088970184,0.9999808669090271,0.401763379573822,0.16712315380573273,-0.12799489498138428,0.9999556541442871,0.37627148628234863,0.17398998141288757,-0.12263427674770355,0.9999575018882751,0.393510639667511,0.18538898229599,-0.18846352398395538,0.9999905228614807,0.3821023404598236,0.18677863478660583,-0.1870436817407608,0.99998939037323,0.43014755845069885,0.24981051683425903,-0.07145605236291885,0.999945342540741,0.360333114862442,0.2667011618614197,-0.06256933510303497,0.9999547004699707,0.444699227809906,0.34720754623413086,-0.03236902505159378,0.9901256561279297,0.35246607661247253,0.3728267550468445,-0.022935133427381516,0.9771683216094971,0.44656485319137573,0.44018271565437317,-0.09809301793575287,0.9781962037086487,0.3485308289527893,0.4657141864299774,-0.07984200119972229,0.9557859897613525,0.4478861689567566,0.47035419940948486,-0.11676503717899323,0.9562666416168213,0.346457839012146,0.4936830699443817,-0.09821698814630508,0.9198834896087646,0.44289103150367737,0.4689469635486603,-0.1422995775938034,0.9577925205230713,0.35117191076278687,0.4924270510673523,-0.1218777522444725,0.920673668384552,0.44090986251831055,0.4617517590522766,-0.10899955034255981,0.9479683637619019,0.35310399532318115,0.48287612199783325,-0.09082405269145966,0.9104493856430054,0.42288923263549805,0.44933146238327026,-0.002486591227352619,0.9996731281280518,0.3810337781906128,0.4539920687675476,0.002471035346388817,0.999793529510498,0.42491668462753296,0.5967457294464111,0.0029759022872895002,0.9811242818832397,0.3876117169857025,0.596859872341156,-0.002646704437211156,0.9848289489746094,0.4282192587852478,0.7377596497535706,0.08918021619319916,0.9052541255950928,0.3958040773868561,0.7408270835876465,0.08888532966375351,0.9462575912475586,0.4234558045864105,0.7574095726013184,0.09146294742822647,0.8204749226570129,0.4025817811489105,0.7599587440490723,0.09146750718355179,0.8265223503112793,0.4408527910709381,0.7820115685462952,-0.001896900706924498,0.9152545928955078,0.37990137934684753,0.7915493249893188,-0.005495777819305658,0.9369033575057983
