frame,activity,l0_x,l0_y,l0_z,l0_v,l1_x,l1_y,l1_z,l1_v,l2_x,l2_y,l2_z,l2_v,l3_x,l3_y,l3_z,l3_v,l4_x,l4_y,l4_z,l4_v,l5_x,l5_y,l5_z,l5_v,l6_x,l6_y,l6_z,l6_v,l7_x,l7_y,l7_z,l7_v,l8_x,l8_y,l8_z,l8_v,l9_x,l9_y,l9_z,l9_v,l10_x,l10_y,l10_z,l10_v,l11_x,l11_y,l11_z,l11_v,l12_x,l12_y,l12_z,l12_v,l13_x,l13_y,l13_z,l13_v,l14_x,l14_y,l14_z,l14_v,l15_x,l15_y,l15_z,l15_v,l16_x,l16_y,l16_z,l16_v,l17_x,l17_y,l17_z,l17_v,l18_x,l18_y,l18_z,l18_v,l19_x,l19_y,l19_z,l19_v,l20_x,l20_y,l20_z,l20_v,l21_x,l21_y,l21_z,l21_v,l22_x,l22_y,l22_z,l22_v,l23_x,l23_y,l23_z,l23_v,l24_x,l24_y,l24_z,l24_v,l25_x,l25_y,l25_z,l25_v,l26_x,l26_y,l26_z,l26_v,l27_x,l27_y,l27_z,l27_v,l28_x,l28_y,l28_z,l28_v,l29_x,l29_y,l29_z,l29_v,l30_x,l30_y,l30_z,l30_v,l31_x,l31_y,l31_z,l31_v,l32_x,l32_y,l32_z,l32_v
0,walk,0.4795965254306793,0.21755704283714294,-0.25288885831832886,0.9999220371246338,0.47921285033226013,0.20682932436466217,-0.23862437903881073,0.9998888373374939,0.48034730553627014,0.20660410821437836,-0.238612562417984,0.9999020099639893,0.48201560974121094,0.20631349086761475,-0.23859529197216034,0.9998812675476074,0.47694945335388184,0.207316055893898,-0.23925518989562988,0.9998900294303894,0.47448912262916565,0.2073502391576767,-0.23926615715026855,0.9999051094055176,0.4719223976135254,0.2072882056236267,-0.23926278948783875,0.9998809099197388,0.48514336347579956,0.21244561672210693,-0.14492742717266083,0.9999014139175415,0.4688853323459625,0.213867649435997,-0.14859426021575928,0.9998826384544373,0.4806325435638428,0.22855517268180847,-0.21747834980487823,0.9999176859855652,0.4758579134941101,0.22960993647575378,-0.21859629452228546,0.9999178647994995,0.5123289823532104,0.2909451723098755,-0.07467468082904816,0.999916136264801,0.4454793334007263,0.29858073592185974,-0.071084164083004,0.9999062418937683,0.5300091505050659,0.3888247609138489,-0.007923725992441177,0.989681601524353,0.43025174736976624,0.38949286937713623,-0.014454866759479046,0.9937317371368408,0.5392773151397705,0.4773341417312622,-0.06445416808128357,0.9056611061096191,0.4233102798461914,0.48085707426071167,-0.07551886886358261,0.9307377934455872,0.5419806241989136,0.5068650841712952,-0.08031730353832245,0.8186838030815125,0.4203999638557434,0.5096027255058289,-0.09492184966802597,0.8685249090194702,0.5366472005844116,0.5043349862098694,-0.1113080233335495,0.8042710423469543,0.4255761206150055,0.5076033473014832,-0.12209899723529816,0.8558074831962585,0.5337388515472412,0.49707385897636414,-0.07777801156044006,0.7359673380851746,0.4283757209777832,0.4994470477104187,-0.08766628801822662,0.8001980781555176,0.5018671751022339,0.4883818030357361,0.0001346954668406397,0.9996736645698547,0.4647417664527893,0.49183154106140137,-0.00022178883955348283,0.9995008111000061,0.5051825642585754,0.6446129679679871,-0.00637349346652627,0.9959332942962646,0.46197062730789185,0.6440600156784058,-0.006212265230715275,0.9949437975883484,0.5109836459159851,0.7862117290496826,0.10103441774845123,0.989388108253479,0.4647112488746643,0.7943677306175232,0.09680408984422684,0.9899278283119202,0.5067733526229858,0.8050737380981445,0.1054374948143959,0.9755232930183411,0.4697398543357849,0.8122317790985107,0.1006782203912735,0.9787980914115906,0.5131782293319702,0.81805020570755,-0.0041029443964362144,0.8595150113105774,0.45838457345962524,0.8254262208938599,0.0003100020985584706,0.8584965467453003
1,walk,0.4790196418762207,0.2166898250579834,-0.25462573766708374,0.9999275207519531,0.479699045419693,0.2063608020544052,-0.24067386984825134,0.9998895525932312,0.4816169738769531,0.2063785344362259,-0.24066558480262756,0.9999021291732788,0.4838221073150635,0.20628593862056732,-0.24064922332763672,0.9998818635940552,0.47484272718429565,0.2067457139492035,-0.24098531901836395,0.9998910427093506,0.47194233536720276,0.20709729194641113,-0.2409989833831787,0.9999057650566101,0.46927452087402344,0.20725208520889282,-0.2410038709640503,0.9998838901519775,0.48745298385620117,0.21330711245536804,-0.1481325924396515,0.9998912811279297,0.4654409885406494,0.21513573825359344,-0.15015548467636108,0.9998740553855896,0.4818304479122162,0.2286519557237625,-0.21958720684051514,0.9999210238456726,0.4740975797176361,0.2296038568019867,-0.22023625671863556,0.9999201893806458,0.5159545540809631,0.29269298911094666,-0.07997077703475952,0.9999185800552368,0.44119659066200256,0.30280858278274536,-0.07275544106960297,0.9999073147773743,0.5335170030593872,0.38742172718048096,-0.014718924649059772,0.9899001121520996,0.42564621567726135,0.39125579595565796,-0.016328221186995506,0.9927236437797546,0.5427058339118958,0.47297701239585876,-0.07299710065126419,0.9133610129356384,0.4177875518798828,0.4802717864513397,-0.0780685544013977,0.9352682828903198,0.545226514339447,0.502902090549469,-0.08911297470331192,0.8321753144264221,0.41515016555786133,0.5094411969184875,-0.09737426042556763,0.8762706518173218,0.5398022532463074,0.5007028579711914,-0.11983992904424667,0.8196832537651062,0.4203530251979828,0.5074847936630249,-0.12461799383163452,0.8651851415634155,0.537035346031189,0.49368295073509216,-0.08626952767372131,0.7573270201683044,0.4232538640499115,0.49927574396133423,-0.09025100618600845,0.8143934607505798,0.5051712989807129,0.4895169138908386,-0.0028738356195390224,0.9996427297592163,0.4605101943016052,0.49511054158210754,0.002825963543727994,0.9995114803314209,0.5088091492652893,0.6443106532096863,-0.010461031459271908,0.9954763650894165,0.45675769448280334,0.6423342823982239,-0.006936336867511272,0.9946469068527222,0.514628529548645,0.7815139889717102,0.10522576421499252,0.9892573952674866,0.46132293343544006,0.7910377383232117,0.10741883516311646,0.990066647529602,0.5101255178451538,0.7992419004440308,0.10995560884475708,0.9608955979347229,0.4663906693458557,0.8079947829246521,0.11187298595905304,0.9686061143875122,0.5168226361274719,0.8189926743507385,4.1172319470206276e-05,0.8718919157981873,0.4547611176967621,0.8267952799797058,0.0037114073056727648,0.8713342547416687
2,walk,0.4774220883846283,0.21608035266399384,-0.25807371735572815,0.9999326467514038,0.47961917519569397,0.20541350543498993,-0.24408085644245148,0.9998912811279297,0.4814123213291168,0.2055562287569046,-0.24407947063446045,0.9999032020568848,0.483402818441391,0.2057209610939026,-0.24406592547893524,0.9998834729194641,0.47267332673072815,0.2060326188802719,-0.24454888701438904,0.9998930096626282,0.46981343626976013,0.20661413669586182,-0.24456465244293213,0.9999073147773743,0.46722936630249023,0.2070392370223999,-0.24457064270973206,0.9998874664306641,0.4872187077999115,0.21333658695220947,-0.1510794758796692,0.9998833537101746,0.4634031653404236,0.21552060544490814,-0.15391229093074799,0.9998690485954285,0.48177844285964966,0.228816419839859,-0.22288015484809875,0.9999244213104248,0.47198113799095154,0.22962415218353271,-0.22374780476093292,0.9999226927757263,0.5157511830329895,0.2932341992855072,-0.08073453605175018,0.9999205470085144,0.4393066465854645,0.3041799068450928,-0.07614978402853012,0.999908983707428,0.5327422618865967,0.38701146841049194,-0.014248579740524292,0.9900566935539246,0.424919068813324,0.3950616121292114,-0.017924023792147636,0.9918755292892456,0.5419635772705078,0.4721679985523224,-0.0709208995103836,0.9202581644058228,0.4167538583278656,0.48058611154556274,-0.07960758358240128,0.9394826889038086,0.5445940494537354,0.501451849937439,-0.08642812073230743,0.84419184923172,0.41405194997787476,0.5095780491828918,-0.09833350777626038,0.8836243748664856,0.5390357375144958,0.4991873800754547,-0.11739442497491837,0.833436131477356,0.4187949597835541,0.5078160762786865,-0.126197949051857,0.8739720582962036,0.5361624360084534,0.4922851622104645,-0.08414807170629501,0.7764151096343994,0.4216677248477936,0.499738484621048,-0.09187494218349457,0.8274886012077332,0.505192220211029,0.4906637966632843,-0.0028667182195931673,0.9996132850646973,0.45961064100265503,0.49664971232414246,0.002814916195347905,0.9995208382606506,0.5090104937553406,0.6440373063087463,-0.009322547353804111,0.9950032234191895,0.4558160901069641,0.6424816846847534,-0.005560853518545628,0.9943633079528809,0.5145822763442993,0.7804140448570251,0.10044050216674805,0.9890978932380676,0.46066194772720337,0.7902420163154602,0.10422128438949585,0.9901346564292908,0.509736180305481,0.7991049885749817,0.10424169152975082,0.9498299360275269,0.4657500386238098,0.8076392412185669,0.10789769887924194,0.9587865471839905,0.5179884433746338,0.8193181157112122,-0.002495787339285016,0.8829957246780396,0.45455795526504517,0.8273811936378479,0.0020373077131807804,0.882792055606842
3,walk,0.4771021902561188,0.216349795460701,-0.26406484842300415,0.9999373555183411,0.47957390546798706,0.2053508162498474,-0.24996116757392883,0.9998933672904968,0.48143094778060913,0.20548616349697113,-0.24996516108512878,0.9999046921730042,0.48331212997436523,0.2056768387556076,-0.24995680153369904,0.9998856782913208,0.47209152579307556,0.20601876080036163,-0.25131040811538696,0.9998952150344849,0.4692893624305725,0.2066076546907425,-0.25132501125335693,0.999908983707428,0.46670055389404297,0.2070527821779251,-0.2513265013694763,0.9998908042907715,0.48694127798080444,0.21337276697158813,-0.15501734614372253,0.9998781681060791,0.46205076575279236,0.2161296010017395,-0.16166912019252777,0.999865710735321,0.4818750023841858,0.230357363820076,-0.22786760330200195,0.9999276995658875,0.4719243049621582,0.23111587762832642,-0.22985143959522247,0.9999251961708069,0.5151634216308594,0.29353591799736023,-0.082023985683918,0.9999232888221741,0.4382409155368805,0.305122047662735,-0.08121940493583679,0.9999101161956787,0.532063901424408,0.3862856924533844,-0.013847592286765575,0.9901976585388184,0.4244934916496277,0.3983384072780609,-0.022336972877383232,0.9910354614257812,0.5408157110214233,0.4716024100780487,-0.071600541472435,0.9264385104179382,0.41618460416793823,0.4807717502117157,-0.08546672761440277,0.9430190324783325,0.5439150333404541,0.5006112456321716,-0.08727939426898956,0.8549436330795288,0.4134140610694885,0.5098122954368591,-0.10431051254272461,0.8898026347160339,0.5381025671958923,0.4982545077800751,-0.11839115619659424,0.8457645773887634,0.41766825318336487,0.5080586075782776,-0.13318505883216858,0.8814910650253296,0.5350774526596069,0.4912078380584717,-0.08487830311059952,0.7935585975646973,0.42054614424705505,0.5000844597816467,-0.09811609238386154,0.8387974500656128,0.5046125054359436,0.49130842089653015,-0.0025737350806593895,0.9995859265327454,0.45927610993385315,0.49742263555526733,0.002517413580790162,0.9995256662368774,0.5085150003433228,0.6434957981109619,-0.008125352673232555,0.9946296811103821,0.4557521343231201,0.6425804495811462,-0.004898596089333296,0.9941232204437256,0.5140216946601868,0.7802686095237732,0.09763503074645996,0.9890686869621277,0.4605441093444824,0.789743959903717,0.10120820999145508,0.990205705165863,0.5092044472694397,0.799548864364624,0.10066409409046173,0.9408723711967468,0.46594300866127014,0.8076804280281067,0.10434802621603012,0.9498081207275391,0.5177353620529175,0.8194230794906616,-0.0034386187326163054,0.8931241631507874,0.45468443632125854,0.8275957703590393,-0.0023141426499933004,0.8931233882904053
4,walk,0.4763554036617279,0.21646390855312347,-0.2763330638408661,0.9999418258666992,0.47946375608444214,0.20534595847129822,-0.26176542043685913,0.9998967051506042,0.4811992645263672,0.20548605918884277,-0.2617673873901367,0.9999074935913086,0.4829271733760834,0.20567771792411804,-0.2617572546005249,0.9998890161514282,0.4712776243686676,0.2060178518295288,-0.26320013403892517,0.9998980760574341,0.46848735213279724,0.20660419762134552,-0.2632191777229309,0.9999116063117981,0.4659630358219147,0.207054004073143,-0.26322025060653687,0.9998951554298401,0.4864375591278076,0.21343867480754852,-0.1644839346408844,0.9998766183853149,0.46142229437828064,0.2163073718547821,-0.1716735064983368,0.9998661279678345,0.48173871636390686,0.23129795491695404,-0.23949018120765686,0.9999316930770874,0.4711582660675049,0.23177269101142883,-0.2416074275970459,0.9999285936355591,0.5139976739883423,0.29398560523986816,-0.08868913352489471,0.9999258518218994,0.4380407929420471,0.30541831254959106,-0.08906830847263336,0.9999107122421265,0.5309197306632996,0.38631492853164673,-0.017926504835486412,0.990268349647522,0.42395544052124023,0.3981643617153168,-0.028927002102136612,0.9904221892356873,0.5391649007797241,0.4719063341617584,-0.07656776160001755,0.931781530380249,0.41513505578041077,0.48095643520355225,-0.09239871799945831,0.9464122653007507,0.54216468334198,0.500478982925415,-0.09186766296625137,0.8639317154884338,0.4121526777744293,0.5105124711990356,-0.11162364482879639,0.895706295967102,0.5361917018890381,0.498277872800827,-0.12388861179351807,0.8562256097793579,0.41670098900794983,0.5087659955024719,-0.14038297533988953,0.8885888457298279,0.5331559777259827,0.49115800857543945,-0.09028036892414093,0.80827796459198,0.4198453426361084,0.5006330013275146,-0.1050233244895935,0.8493881821632385,0.5037752985954285,0.49151498079299927,-0.0022678817622363567,0.9995643496513367,0.45908623933792114,0.4972461760044098,0.002197515917941928,0.9995312094688416,0.5086974501609802,0.6433137655258179,-0.00755018275231123,0.99448561668396,0.45562124252319336,0.6427087783813477,-0.006636526435613632,0.9940305352210999,0.5140685439109802,0.7802714109420776,0.10923031717538834,0.9892323017120361,0.4601612687110901,0.7887468934059143,0.10750256478786469,0.9904124140739441,0.5097808241844177,0.7989100217819214,0.11344470828771591,0.9327691793441772,0.4659946858882904,0.8062284588813782,0.11141648143529892,0.9424630403518677,0.5174533128738403,0.8194212317466736,0.0012066958006471395,0.9024181365966797,0.45571479201316833,0.8273056149482727,0.00010100695362780243,0.9026110768318176
5,walk,0.47574371099472046,0.21642382442951202,-0.2675732672214508,0.9999460577964783,0.47922271490097046,0.20520517230033875,-0.25308912992477417,0.9999006390571594,0.4810043275356293,0.20536556839942932,-0.2530958354473114,0.999910831451416,0.482626736164093,0.2055477797985077,-0.25308647751808167,0.9998929500579834,0.47056183218955994,0.20595631003379822,-0.2545967400074005,0.9999014735221863,0.46773600578308105,0.2065601795911789,-0.25461170077323914,0.9999146461486816,0.4651482105255127,0.2070171982049942,-0.25461122393608093,0.9998998045921326,0.4858188033103943,0.21330659091472626,-0.15662413835525513,0.9998765587806702,0.4606932997703552,0.21626731753349304,-0.1643705517053604,0.9998683333396912,0.48166269063949585,0.23145893216133118,-0.23109562695026398,0.9999358057975769,0.4703562259674072,0.23191744089126587,-0.2333599030971527,0.9999323487281799,0.5133324861526489,0.2942970395088196,-0.08157913386821747,0.9999285936355591,0.4376741945743561,0.3047104477882385,-0.08474575728178024,0.9999122619628906,0.5301738977432251,0.3863426744937897,-0.014340223744511604,0.9902059435844421,0.4233827590942383,0.397663414478302,-0.024685025215148926,0.9899126887321472,0.5382028818130493,0.47151172161102295,-0.0635325089097023,0.9363996386528015,0.4141525626182556,0.48110538721084595,-0.08413220942020416,0.9494658708572388,0.5413137674331665,0.49981269240379333,-0.07785214483737946,0.8715841770172119,0.41118574142456055,0.5109826922416687,-0.10238118469715118,0.9010618329048157,0.5356066823005676,0.49763941764831543,-0.10915227979421616,0.8652346730232239,0.4158226549625397,0.5092043280601501,-0.13096140325069427,0.8949915170669556,0.5325592756271362,0.49029430747032166,-0.0767533928155899,0.8210515379905701,0.41901421546936035,0.5009437799453735,-0.09654229134321213,0.8589528799057007,0.503359317779541,0.4920719265937805,-0.0017085338477045298,0.9995510578155518,0.45930367708206177,0.4975947141647339,0.0016661081463098526,0.999539315700531,0.5087116956710815,0.6433407068252563,-0.007102628704160452,0.9943571090698242,0.4565065801143646,0.6433033347129822,-0.009625505656003952,0.9939279556274414,0.5143605470657349,0.7807660698890686,0.10949894040822983,0.9893339276313782,0.45979976654052734,0.7889042496681213,0.10542206466197968,0.9905433654785156,0.5097345113754272,0.7997468709945679,0.11375005543231964,0.9262343049049377,0.46558818221092224,0.806496262550354,0.10943269729614258,0.9350746273994446,0.5179200768470764,0.8196125626564026,0.003251371206715703,0.9107078313827515,0.4562295377254486,0.827304482460022,8.007220458239317e-05,0.9110657572746277
6,walk,0.4750625491142273,0.216040700674057,-0.2706233859062195,0.9999498724937439,0.4785965383052826,0.20490047335624695,-0.2560535967350006,0.9999043345451355,0.4809190630912781,0.20507366955280304,-0.2560606300830841,0.9999141693115234,0.48229527473449707,0.20528094470500946,-0.25605344772338867,0.9998968839645386,0.46986207365989685,0.20576050877571106,-0.25733718276023865,0.9999043345451355,0.4670834541320801,0.2064162939786911,-0.25735339522361755,0.9999173283576965,0.4645000994205475,0.20690979063510895,-0.25735312700271606,0.9999039173126221,0.48505449295043945,0.21291407942771912,-0.15950335562229156,0.9998774528503418,0.46035847067832947,0.21616101264953613,-0.16612407565116882,0.9998697638511658,0.48145008087158203,0.23143446445465088,-0.23427554965019226,0.9999397397041321,0.4698363244533539,0.23183345794677734,-0.23620367050170898,0.9999357461929321,0.5129009485244751,0.2943243384361267,-0.08444586396217346,0.9999315738677979,0.4369269013404846,0.3046947419643402,-0.08510154485702515,0.9999127984046936,0.5294657945632935,0.3863402009010315,-0.012151548638939857,0.9901935458183289,0.42273297905921936,0.39757058024406433,-0.022100219503045082,0.989280641078949,0.5379709005355835,0.47113749384880066,-0.06162410229444504,0.9405381679534912,0.4134162366390228,0.48115572333335876,-0.07968731969594955,0.9521124362945557,0.5408305525779724,0.4992893636226654,-0.07552884519100189,0.8783667087554932,0.4103057384490967,0.512298047542572,-0.09753156453371048,0.9057633280754089,0.5354641675949097,0.4971155822277069,-0.10744303464889526,0.8732390999794006,0.4147484302520752,0.5105434656143188,-0.1265253722667694,0.900646984577179,0.5324789881706238,0.48962441086769104,-0.07502052187919617,0.8324234485626221,0.41791272163391113,0.5018331408500671,-0.09224265068769455,0.8674381971359253,0.5026981234550476,0.4926357567310333,-0.0016847753431648016,0.999543309211731,0.4589223861694336,0.4980147182941437,0.0016410935204476118,0.9995468258857727,0.5085379481315613,0.6442058086395264,-0.00830906629562378,0.9942822456359863,0.45691171288490295,0.6441715955734253,-0.009846197441220284,0.9938202500343323,0.5149161219596863,0.781123161315918,0.11350983381271362,0.989467978477478,0.46007800102233887,0.7890197038650513,0.11053712666034698,0.9906594753265381,0.5103337168693542,0.7999258041381836,0.1184607595205307,0.9199948310852051,0.4657933712005615,0.8065750002861023,0.11521770060062408,0.9284090399742126,0.5181757807731628,0.819909930229187,0.007287731859833002,0.9181833267211914,0.45713791251182556,0.8275312781333923,0.0024546764325350523,0.9186931252479553
7,walk,0.4740709364414215,0.21535904705524445,-0.26571735739707947,0.9999534487724304,0.47774991393089294,0.2045464813709259,-0.2513204514980316,0.9999082088470459,0.48045191168785095,0.2047569453716278,-0.2513274848461151,0.9999176263809204,0.4821343421936035,0.20501171052455902,-0.25131914019584656,0.9999011158943176,0.4690680503845215,0.20537687838077545,-0.25237902998924255,0.9999074935913086,0.46629777550697327,0.20606586337089539,-0.2523907721042633,0.9999201893806458,0.4636560380458832,0.20662778615951538,-0.2523898482322693,0.9999080300331116,0.4844898581504822,0.21254028379917145,-0.1553945392370224,0.9998796582221985,0.4596840739250183,0.21581721305847168,-0.16091418266296387,0.999871551990509,0.4807315468788147,0.23102353513240814,-0.22954857349395752,0.9999436736106873,0.468890517950058,0.23124204576015472,-0.23117096722126007,0.9999392032623291,0.5116593837738037,0.294095516204834,-0.08231620490550995,0.9999350309371948,0.4358745515346527,0.30455559492111206,-0.0799701139330864,0.9999141693115234,0.5291134119033813,0.3857649862766266,-0.010969133116304874,0.9903371334075928,0.421821653842926,0.3977561891078949,-0.018449176102876663,0.9886578917503357,0.5374396443367004,0.4708658754825592,-0.06216483563184738,0.9446146488189697,0.4125620424747467,0.4812203347682953,-0.07521698623895645,0.9545775651931763,0.5401962995529175,0.49928635358810425,-0.0765981674194336,0.8852888345718384,0.4095481038093567,0.5132017135620117,-0.09323158115148544,0.9102441668510437,0.5346167683601379,0.49714773893356323,-0.10881251096725464,0.8811809420585632,0.41390085220336914,0.5114679932594299,-0.12275830656290054,0.9059865474700928,0.5316336154937744,0.4895206093788147,-0.07566792517900467,0.843460738658905,0.41707128286361694,0.502656102180481,-0.08800821751356125,0.8753544092178345,0.5021709203720093,0.49282947182655334,-0.0015428941696882248,0.9995408058166504,0.4582388401031494,0.4981110095977783,0.0014891132013872266,0.9995564818382263,0.5081996321678162,0.6448970437049866,-0.009247799403965473,0.9942716360092163,0.456770122051239,0.6453385353088379,-0.009136870503425598,0.9937598705291748,0.5150927901268005,0.7813933491706848,0.11161838471889496,0.9896618127822876,0.4603443145751953,0.7890620827674866,0.1110207661986351,0.9908061623573303,0.5105693340301514,0.800201952457428,0.11641567945480347,0.9148597717285156,0.4660913348197937,0.8065972924232483,0.1156097874045372,0.9228208661079407,0.5185538530349731,0.8200657367706299,0.0057718874886631966,0.9250222444534302,0.4573987126350403,0.8278083205223083,0.003374069929122925,0.9256303906440735
8,walk,0.4731276035308838,0.2150048315525055,-0.26268070936203003,0.9999566674232483,0.47682785987854004,0.2043263167142868,-0.24853894114494324,0.9999114274978638,0.47973185777664185,0.20456574857234955,-0.2485443651676178,0.9999204874038696,0.4819643497467041,0.20484869182109833,-0.248531773686409,0.9999046325683594,0.4682934880256653,0.20510536432266235,-0.24935941398143768,0.9999101758003235,0.46554484963417053,0.205824613571167,-0.24936982989311218,0.9999226331710815,0.46291041374206543,0.2064521312713623,-0.24937283992767334,0.9999116063117981,0.4841483235359192,0.2122560739517212,-0.15333828330039978,0.999880850315094,0.45916876196861267,0.21553806960582733,-0.1579076200723648,0.9998729228973389,0.4798412322998047,0.23074612021446228,-0.22670309245586395,0.9999470710754395,0.46807661652565,0.2308582365512848,-0.2280532568693161,0.9999422430992126,0.5109543800354004,0.2939315438270569,-0.08079253137111664,0.9999382495880127,0.43495169281959534,0.3041803240776062,-0.07708922773599625,0.9999160170555115,0.5281696915626526,0.38529327511787415,-0.010728300549089909,0.9905217885971069,0.42108553647994995,0.39760228991508484,-0.01668745093047619,0.9882122278213501,0.5370632410049438,0.46966564655303955,-0.0657559260725975,0.9485427737236023,0.41219472885131836,0.48124486207962036,-0.07482022047042847,0.9570383429527283,0.5404833555221558,0.49863654375076294,-0.08075439929962158,0.8922046422958374,0.4093884527683258,0.5133586525917053,-0.09320838004350662,0.9147301316261292,0.5346567034721375,0.4965916574001312,-0.1132630854845047,0.8889621496200562,0.41379889845848083,0.5115962624549866,-0.12266048043966293,0.911221981048584,0.5314458608627319,0.48869797587394714,-0.07946046441793442,0.8540998697280884,0.41694003343582153,0.5027387142181396,-0.08761973679065704,0.8829442262649536,0.5019207000732422,0.49279266595840454,-0.001451197313144803,0.9995369911193848,0.4573137164115906,0.4978730082511902,0.0013911951100453734,0.9995664358139038,0.5081239938735962,0.6449194550514221,-0.009149210527539253,0.994208812713623,0.45699542760849,0.6457064747810364,-0.00961272418498993,0.9936733245849609,0.5152153372764587,0.7814962863922119,0.1064617782831192,0.9897828698158264,0.4603198170661926,0.7888684868812561,0.10662786662578583,0.9908854365348816,0.5107485055923462,0.8002318739891052,0.11061187088489532,0.9092304110527039,0.4661187529563904,0.8064208030700684,0.11073360592126846,0.9170544743537903,0.518505334854126,0.8203092217445374,0.0037451188545674086,0.9310927987098694,0.457258939743042,0.8279362916946411,0.000825215014629066,0.9317857623100281
9,walk,0.4722943902015686,0.21470943093299866,-0.2563634514808655,0.9999592304229736,0.47594356536865234,0.20418673753738403,-0.24236655235290527,0.9999132752418518,0.47889789938926697,0.204463392496109,-0.24237549304962158,0.9999220967292786,0.48148098587989807,0.204768568277359,-0.2423648089170456,0.9999067187309265,0.46755534410476685,0.20488230884075165,-0.2429526150226593,0.9999113082885742,0.4647499620914459,0.2056310623884201,-0.24296052753925323,0.9999237060546875,0.462049663066864,0.20632337033748627,-0.2429662048816681,0.99991375207901,0.4841158986091614,0.21210217475891113,-0.14870457351207733,0.999880313873291,0.4584607183933258,0.2153501659631729,-0.15211156010627747,0.9998719096183777,0.4789290428161621,0.23051558434963226,-0.22094842791557312,0.9999498724937439,0.46722060441970825,0.23060546815395355,-0.22197005152702332,0.9999445676803589,0.5103390216827393,0.2938346564769745,-0.07855098694562912,0.9999411106109619,0.4338870942592621,0.30397528409957886,-0.07241208106279373,0.9999172687530518,0.5274917483329773,0.38451558351516724,-0.010289224795997143,0.9906168580055237,0.420442670583725,0.3976718783378601,-0.011671657674014568,0.987500786781311,0.53671795129776,0.4683297574520111,-0.06437771022319794,0.951885998249054,0.41206470131874084,0.48130205273628235,-0.06991130113601685,0.9589585065841675,0.5402368307113647,0.49797019362449646,-0.079367995262146,0.8980776071548462,0.4093371331691742,0.5134737491607666,-0.08753461390733719,0.9183153510093689,0.5344849824905396,0.4959767162799835,-0.1114032119512558,0.895636796951294,0.4138457179069519,0.5116506814956665,-0.11653532087802887,0.9155092835426331,0.5311865210533142,0.4878136217594147,-0.07784421741962433,0.8632732629776001,0.4169228971004486,0.5027915239334106,-0.08232900500297546,0.8893158435821533,0.5016342401504517,0.4928022623062134,-0.0016986693954095244,0.9995337128639221,0.4565194547176361,0.4980742633342743,0.001637341221794486,0.9995744824409485,0.5079530477523804,0.6450499892234802,-0.009252588264644146,0.9941871762275696,0.4572088122367859,0.6469293832778931,-0.008505677804350853,0.993613064289093,0.5156604647636414,0.7817010879516602,0.1046188622713089,0.9899401068687439,0.46033936738967896,0.7887466549873352,0.10662688314914703,0.9909716248512268,0.5112517476081848,0.8005093336105347,0.10856528580188751,0.9041229486465454,0.46621865034103394,0.8062343001365662,0.11067219823598862,0.9121809005737305,0.5184320211410522,0.8205587863922119,0.0011736006708815694,0.9365761280059814,0.45678386092185974,0.8279181718826294,0.0013584274565801024,0.9373458027839661
